Date,Portfolio Value,Cash,Stock,Stock Price,Daily Return
2024-11-01,100000.0,31.854537963867188,443,225.66172790527344,
2024-11-04,98672.46008300781,24525.00715637207,333,222.66502380371094,-0.01327539916992182
2024-11-05,98373.08731079102,35613.3074798584,283,221.76600646972656,-0.0030340053543304046
2024-11-06,98780.1589050293,44987.89320373535,241,223.2044219970703,0.004138038211123796
2024-11-07,98604.42483520508,52997.00166320801,205,222.47523498535156,-0.0017790421859229522
2024-11-08,99579.15078735352,59813.90153503418,175,227.22999572753906,0.009885215128808689
2024-11-11,99531.90270996094,65714.86170959473,149,226.9600067138672,-0.0004744776092082681
2024-11-12,99125.13107299805,70647.92161560059,127,224.22999572753906,-0.0040868467886948645
2024-11-13,99125.13107299805,74908.29153442383,108,224.22999572753906,0.0
2024-11-14,99221.25100708008,78510.21145629883,92,225.1199951171875,0.000969682794278004
2024-11-15,99506.45156860352,79423.09146118164,88,228.22000122070312,0.002874389897614682
2024-11-18,99223.09146118164,82348.09146118164,75,225.0,-0.002847655633931634
2024-11-19,99449.59178161621,83032.15147399902,72,228.02000427246094,0.002282737990714434
2024-11-20,99468.3113861084,83716.99147033691,69,228.27999877929688,0.00018823208981388895
2024-11-21,99517.99147033691,84403.99147033691,66,229.0,0.0004994563950690978
2024-11-22,99486.31175231934,86460.67150878906,57,228.52000427246094,-0.000318331565474006
